hoja,celda,formula,constante,observacion
Arriendo,I4,=H4/12,12,CONST_EMBEBIDA_CORE
Arriendo,K4,=J4*19%,19,CONST_EMBEBIDA_CORE
Arriendo,I5,=H5/12,12,CONST_EMBEBIDA_CORE
Arriendo,K5,=J5*19%,19,CONST_EMBEBIDA_CORE
Arriendo,I6,=H6/12,12,CONST_EMBEBIDA_CORE
Arriendo,K6,=J6*19%,19,CONST_EMBEBIDA_CORE
Arriendo,I7,=H7/12,12,CONST_EMBEBIDA_CORE
Arriendo,K7,=J7*19%,19,CONST_EMBEBIDA_CORE
Arriendo,I8,=H8/12,12,CONST_EMBEBIDA_CORE
Arriendo,K8,=J8*19%,19,CONST_EMBEBIDA_CORE
Arriendo,I9,=H9/12,12,CONST_EMBEBIDA_CORE
Arriendo,K9,=J9*19%,19,CONST_EMBEBIDA_CORE
Arriendo,I10,=H10/12,12,CONST_EMBEBIDA_CORE
Arriendo,K10,=J10*19%,19,CONST_EMBEBIDA_CORE
Arriendo,I11,=H11/12,12,CONST_EMBEBIDA_CORE
Arriendo,K11,=J11*19%,19,CONST_EMBEBIDA_CORE
Arriendo,I12,=H12/12,12,CONST_EMBEBIDA_CORE
Arriendo,K12,=J12*19%,19,CONST_EMBEBIDA_CORE
Arriendo,I13,=H13/12,12,CONST_EMBEBIDA_CORE
Arriendo,K13,=J13*19%,19,CONST_EMBEBIDA_CORE
Arriendo,I14,=H14/12,12,CONST_EMBEBIDA_CORE
Arriendo,K14,=J14*19%,19,CONST_EMBEBIDA_CORE
Arriendo,I15,=H15/12,12,CONST_EMBEBIDA_CORE
Arriendo,K15,=J15*19%,19,CONST_EMBEBIDA_CORE
Arriendo,I16,=H16/12,12,CONST_EMBEBIDA_CORE
Arriendo,K16,=J16*19%,19,CONST_EMBEBIDA_CORE
Arriendo,Q16,=500000,500000,CONST_EMBEBIDA_CORE
Arriendo,I17,=H17/12,12,CONST_EMBEBIDA_CORE
Arriendo,K17,=J17*19%,19,CONST_EMBEBIDA_CORE
