origen,destino,tipo_relacion
IVA Dptos!C1,Arriendo!B1,CORE_FORMULA_REF
IVA Dptos!C1,Arriendo!O1,CORE_FORMULA_REF
Arriendo!E4,Arriendo!F4,CORE_FORMULA_REF
Arriendo!$B$1,Arriendo!F4,CORE_FORMULA_REF
IVA Dptos!H8,Arriendo!G4,CORE_FORMULA_REF
Arriendo!G4,Arriendo!H4,CORE_FORMULA_REF
Arriendo!$B$2,Arriendo!H4,CORE_FORMULA_REF
Arriendo!H4,Arriendo!I4,CORE_FORMULA_REF
Arriendo!F4,Arriendo!J4,CORE_FORMULA_REF
Arriendo!I4,Arriendo!J4,CORE_FORMULA_REF
Arriendo!J4,Arriendo!K4,CORE_FORMULA_REF
Arriendo!F4,Arriendo!L4,CORE_FORMULA_REF
Arriendo!K4,Arriendo!L4,CORE_FORMULA_REF
Arriendo!E4,Arriendo!Q4,CORE_FORMULA_REF
Arriendo!Q4,Arriendo!R4,CORE_FORMULA_REF
Arriendo!$O$1,Arriendo!R4,CORE_FORMULA_REF
Arriendo!Q4,Arriendo!S4,CORE_FORMULA_REF
Arriendo!$O$4,Arriendo!S4,CORE_FORMULA_REF
Arriendo!S4,Arriendo!T4,CORE_FORMULA_REF
Arriendo!$O$1,Arriendo!T4,CORE_FORMULA_REF
Arriendo!C4,Arriendo!C5,CORE_FORMULA_REF
Arriendo!E5,Arriendo!F5,CORE_FORMULA_REF
Arriendo!$B$1,Arriendo!F5,CORE_FORMULA_REF
IVA Dptos!H9,Arriendo!G5,CORE_FORMULA_REF
Arriendo!G5,Arriendo!H5,CORE_FORMULA_REF
Arriendo!$B$2,Arriendo!H5,CORE_FORMULA_REF
Arriendo!H5,Arriendo!I5,CORE_FORMULA_REF
Arriendo!F5,Arriendo!J5,CORE_FORMULA_REF
Arriendo!I5,Arriendo!J5,CORE_FORMULA_REF
Arriendo!J5,Arriendo!K5,CORE_FORMULA_REF
Arriendo!F5,Arriendo!L5,CORE_FORMULA_REF
Arriendo!K5,Arriendo!L5,CORE_FORMULA_REF
Arriendo!C5,Arriendo!C6,CORE_FORMULA_REF
Arriendo!E6,Arriendo!F6,CORE_FORMULA_REF
Arriendo!$B$1,Arriendo!F6,CORE_FORMULA_REF
IVA Dptos!H10,Arriendo!G6,CORE_FORMULA_REF
Arriendo!G6,Arriendo!H6,CORE_FORMULA_REF
Arriendo!$B$2,Arriendo!H6,CORE_FORMULA_REF
Arriendo!H6,Arriendo!I6,CORE_FORMULA_REF
Arriendo!F6,Arriendo!J6,CORE_FORMULA_REF
Arriendo!I6,Arriendo!J6,CORE_FORMULA_REF
Arriendo!J6,Arriendo!K6,CORE_FORMULA_REF
Arriendo!F6,Arriendo!L6,CORE_FORMULA_REF
Arriendo!K6,Arriendo!L6,CORE_FORMULA_REF
Arriendo!C6,Arriendo!C7,CORE_FORMULA_REF
Arriendo!E7,Arriendo!F7,CORE_FORMULA_REF
Arriendo!$B$1,Arriendo!F7,CORE_FORMULA_REF
IVA Dptos!H11,Arriendo!G7,CORE_FORMULA_REF
Arriendo!G7,Arriendo!H7,CORE_FORMULA_REF
Arriendo!$B$2,Arriendo!H7,CORE_FORMULA_REF
Arriendo!H7,Arriendo!I7,CORE_FORMULA_REF
Arriendo!F7,Arriendo!J7,CORE_FORMULA_REF
Arriendo!I7,Arriendo!J7,CORE_FORMULA_REF
Arriendo!J7,Arriendo!K7,CORE_FORMULA_REF
Arriendo!F7,Arriendo!L7,CORE_FORMULA_REF
Arriendo!K7,Arriendo!L7,CORE_FORMULA_REF
Arriendo!Q7,Arriendo!R7,CORE_FORMULA_REF
Arriendo!$O$1,Arriendo!R7,CORE_FORMULA_REF
Arriendo!Q7,Arriendo!S7,CORE_FORMULA_REF
Arriendo!$O$4,Arriendo!S7,CORE_FORMULA_REF
Arriendo!S7,Arriendo!T7,CORE_FORMULA_REF
Arriendo!$O$1,Arriendo!T7,CORE_FORMULA_REF
Arriendo!C7,Arriendo!C8,CORE_FORMULA_REF
Arriendo!E8,Arriendo!F8,CORE_FORMULA_REF
Arriendo!$B$1,Arriendo!F8,CORE_FORMULA_REF
IVA Dptos!H12,Arriendo!G8,CORE_FORMULA_REF
