hoja,celda,formula,valor_calculado,referencias,complejidad
Arriendo,B1,='IVA Dptos'!C1,39850,IVA Dptos!C1,0
Arriendo,O1,='IVA Dptos'!C1,39850,IVA Dptos!C1,0
Arriendo,C4,=1,1,,0
Arriendo,F4,=E4/$B$1,17.94746186876084,Arriendo!E4 ; Arriendo!$B$1,1
Arriendo,G4,='IVA Dptos'!H8/$B$1,1682.9718444165621,IVA Dptos!H8,1
Arriendo,H4,=G4*$B$2,185.12690288582183,Arriendo!G4 ; Arriendo!$B$2,1
Arriendo,I4,=H4/12,15.427241907151819,Arriendo!H4,1
Arriendo,J4,=F4-I4,2.520219961609021,Arriendo!F4 ; Arriendo!I4,1
Arriendo,K4,=J4*19%,0.478841792705714,Arriendo!J4,1
Arriendo,L4,=F4-K4,17.468620076055124,Arriendo!F4 ; Arriendo!K4,1
Arriendo,Q4,=E4,715206.3554701195,Arriendo!E4,0
Arriendo,R4,=Q4/$O$1,17.94746186876084,Arriendo!Q4 ; Arriendo!$O$1,1
Arriendo,S4,=Q4*$O$4,10728095.332051793,Arriendo!Q4 ; Arriendo!$O$4,1
Arriendo,T4,=S4/$O$1,269.21192803141264,Arriendo!S4 ; Arriendo!$O$1,1
Arriendo,C5,=+C4+1,2,Arriendo!C4,2
Arriendo,F5,=E5/$B$1,17.88554339934127,Arriendo!E5 ; Arriendo!$B$1,1
Arriendo,G5,='IVA Dptos'!H9/$B$1,1659.1960853199498,IVA Dptos!H9,1
Arriendo,H5,=G5*$B$2,182.5115693851945,Arriendo!G5 ; Arriendo!$B$2,1
Arriendo,I5,=H5/12,15.209297448766208,Arriendo!H5,1
Arriendo,J5,=F5-I5,2.676245950575062,Arriendo!F5 ; Arriendo!I5,1
Arriendo,K5,=J5*19%,0.5084867306092618,Arriendo!J5,1
Arriendo,L5,=F5-K5,17.377056668732006,Arriendo!F5 ; Arriendo!K5,1
Arriendo,C6,=+C5+1,3,Arriendo!C5,2
Arriendo,F6,=E6/$B$1,17.873159705457354,Arriendo!E6 ; Arriendo!$B$1,1
Arriendo,G6,='IVA Dptos'!H10/$B$1,1659.1960853199498,IVA Dptos!H10,1
Arriendo,H6,=G6*$B$2,182.5115693851945,Arriendo!G6 ; Arriendo!$B$2,1
Arriendo,I6,=H6/12,15.209297448766208,Arriendo!H6,1
Arriendo,J6,=F6-I6,2.6638622566911465,Arriendo!F6 ; Arriendo!I6,1
Arriendo,K6,=J6*19%,0.5061338287713179,Arriendo!J6,1
Arriendo,L6,=F6-K6,17.367025876686036,Arriendo!F6 ; Arriendo!K6,1
Arriendo,C7,=+C6+1,4,Arriendo!C6,2
Arriendo,F7,=E7/$B$1,17.951589766722147,Arriendo!E7 ; Arriendo!$B$1,1
Arriendo,G7,='IVA Dptos'!H11/$B$1,1682.9718444165621,IVA Dptos!H11,1
Arriendo,H7,=G7*$B$2,185.12690288582183,Arriendo!G7 ; Arriendo!$B$2,1
Arriendo,I7,=H7/12,15.427241907151819,Arriendo!H7,1
Arriendo,J7,=F7-I7,2.5243478595703284,Arriendo!F7 ; Arriendo!I7,1
Arriendo,K7,=J7*19%,0.4796260933183624,Arriendo!J7,1
Arriendo,L7,=F7-K7,17.471963673403785,Arriendo!F7 ; Arriendo!K7,1
Arriendo,R7,=Q7/$O$1,62.73525721455458,Arriendo!Q7 ; Arriendo!$O$1,1
Arriendo,S7,=Q7*$O$4,37500000,Arriendo!Q7 ; Arriendo!$O$4,1
Arriendo,T7,=S7/$O$1,941.0288582183186,Arriendo!S7 ; Arriendo!$O$1,1
Arriendo,C8,=+C7+1,5,Arriendo!C7,2
Arriendo,F8,=E8/$B$1,17.873159705457354,Arriendo!E8 ; Arriendo!$B$1,1
Arriendo,G8,='IVA Dptos'!H12/$B$1,1659.1960853199498,IVA Dptos!H12,1
Arriendo,H8,=G8*$B$2,182.5115693851945,Arriendo!G8 ; Arriendo!$B$2,1
Arriendo,I8,=H8/12,15.209297448766208,Arriendo!H8,1
Arriendo,J8,=F8-I8,2.6638622566911465,Arriendo!F8 ; Arriendo!I8,1
Arriendo,K8,=J8*19%,0.5061338287713179,Arriendo!J8,1
Arriendo,L8,=F8-K8,17.367025876686036,Arriendo!F8 ; Arriendo!K8,1
Arriendo,C9,=+C8+1,6,Arriendo!C8,2
Arriendo,F9,=E9/$B$1,13.374016985671739,Arriendo!E9 ; Arriendo!$B$1,1
Arriendo,G9,='IVA Dptos'!H13/$B$1,1073.4335257214555,IVA Dptos!H13,1
Arriendo,H9,=G9*$B$2,118.0776878293601,Arriendo!G9 ; Arriendo!$B$2,1
Arriendo,I9,=H9/12,9.839807319113342,Arriendo!H9,1
Arriendo,J9,=F9-I9,3.5342096665583966,Arriendo!F9 ; Arriendo!I9,1
Arriendo,K9,=J9*19%,0.6714998366460954,Arriendo!J9,1
Arriendo,L9,=F9-K9,12.702517149025644,Arriendo!F9 ; Arriendo!K9,1
Arriendo,C10,=+C9+1,7,Arriendo!C9,2
Arriendo,F10,=E10/$B$1,17.95571766468345,Arriendo!E10 ; Arriendo!$B$1,1
Arriendo,G10,='IVA Dptos'!H14/$B$1,1682.9718444165621,IVA Dptos!H14,1
Arriendo,H10,=G10*$B$2,185.12690288582183,Arriendo!G10 ; Arriendo!$B$2,1
Arriendo,I10,=H10/12,15.427241907151819,Arriendo!H10,1
Arriendo,J10,=F10-I10,2.5284757575316323,Arriendo!F10 ; Arriendo!I10,1
Arriendo,K10,=J10*19%,0.48041039393101015,Arriendo!J10,1
Arriendo,L10,=F10-K10,17.47530727075244,Arriendo!F10 ; Arriendo!K10,1
Arriendo,R10,=Q10/$O$1,0.5018820577164367,Arriendo!Q10 ; Arriendo!$O$1,1
Arriendo,S10,=Q10*$O$4,300000,Arriendo!Q10 ; Arriendo!$O$4,1
Arriendo,T10,=S10/$O$1,7.52823086574655,Arriendo!S10 ; Arriendo!$O$1,1
Arriendo,C11,=+C10+1,8,Arriendo!C10,2
