hoja,celda,valor_mostrado,valor_real,formula,clasificacion,criticidad,dependencia_input,dependencia_output
Resumen,E5,83063,='IVA Dptos'!$F$48,='IVA Dptos'!$F$48,CALCULO,MEDIA,IVA Dptos!$F$48,
Resumen,K5,59805.36,='Crédito Comercial 12A'!D4,='Crédito Comercial 12A'!D4,CALCULO,MEDIA,Crédito Comercial 12A!D4,
Resumen,E6,59805.36,='Crédito Comercial 12A'!$D$3,='Crédito Comercial 12A'!$D$3,CALCULO,MEDIA,Crédito Comercial 12A!$D$3,
Resumen,K6,46478,46478,,INPUT_MANUAL_NUMERICO,MEDIA,,
Resumen,E7,0.28,0.28,,INPUT_MANUAL_NUMERICO,MEDIA,,
Resumen,K7,9162.64,=K4-K5-K6,=K4-K5-K6,CALCULO,MEDIA,Resumen!K4; Resumen!K5; Resumen!K6,
Resumen,C8,Cuota de Alzamiento ,Cuota de Alzamiento ,,INPUT_MANUAL_ALFANUMERICO,MEDIA,,
Resumen,E9,8336.236838993686,=SUM('Flujo 5 años C12'!F4:F5),=SUM('Flujo 5 años C12'!F4:F5),CALCULO,MEDIA,Flujo 5 años C12!F4:F5,
Resumen,E11,13068.242058001604,='Flujo 5 años C12'!N3,='Flujo 5 años C12'!N3,CALCULO,MEDIA,Flujo 5 años C12!N3,
Resumen,C12,Dividendos Totales,Dividendos Totales,,INPUT_MANUAL_ALFANUMERICO,MEDIA,,
Resumen,E12,33188.04248645633,='Flujo 5 años C12'!N13,='Flujo 5 años C12'!N13,CALCULO,MEDIA,Flujo 5 años C12!N13,
Resumen,G12,23681.33434075099,='Flujo 5 años C20'!N13,='Flujo 5 años C20'!N13,CALCULO,MEDIA,Flujo 5 años C20!N13,
Resumen,E13,39135.24833270402,='Flujo 5 años C12'!J28,='Flujo 5 años C12'!J28,CALCULO,MEDIA,Flujo 5 años C12!J28,
Resumen,G13,49910.481361046586,='Flujo 5 años C20'!J28,='Flujo 5 años C20'!J28,CALCULO,MEDIA,Flujo 5 años C20!J28,
Resumen,E14,13000,='Flujo 5 años C12'!N30,='Flujo 5 años C12'!N30,CALCULO,MEDIA,Flujo 5 años C12!N30,
Resumen,G14,4500,='Flujo 5 años C20'!N30,='Flujo 5 años C20'!N30,CALCULO,MEDIA,Flujo 5 años C20!N30,
Resumen,E15,74756.7,='Flujo 5 años C12'!J6,='Flujo 5 años C12'!J6,CALCULO,MEDIA,Flujo 5 años C12!J6,
Resumen,C16,Utilidad,Utilidad,,INPUT_MANUAL_ALFANUMERICO,MEDIA,,
Resumen,E16,10075.894144089296,='Flujo 5 años C12'!M38,='Flujo 5 años C12'!M38,CALCULO,MEDIA,Flujo 5 años C12!M38,
Resumen,G16,10234.86926145207,='Flujo 5 años C20'!M38,='Flujo 5 años C20'!M38,CALCULO,MEDIA,Flujo 5 años C20!M38,
IVA Dptos,C3,0.28,0.28,,INPUT_MANUAL_NUMERICO,MEDIA,,
IVA Dptos,E7,IVA (uf),IVA (uf),,INPUT_MANUAL_ALFANUMERICO,MEDIA,,
IVA Dptos,Y7,Tip,Tip,,INPUT_MANUAL_ALFANUMERICO,MEDIA,,
IVA Dptos,AD7,Venta Total Sin descuento,Venta Total Sin descuento,,INPUT_MANUAL_ALFANUMERICO,MEDIA,,
IVA Dptos,D8,3669.84,=X8-(X8*$C$3),=X8-(X8*$C$3),CALCULO,MEDIA,IVA Dptos!X8; IVA Dptos!$C$3,
IVA Dptos,E8,559.8061016949154,=(D8/1.18)*0.18,=(D8/1.18)*0.18,CALCULO,MEDIA,IVA Dptos!D8,
IVA Dptos,F8,2946.347903657449,=E8/0.19,=E8/0.19,CALCULO,MEDIA,IVA Dptos!E8,
IVA Dptos,G8,123934850.84745765,=(D8/(1+$C$2))*$C$1,=(D8/(1+$C$2))*$C$1,CALCULO,MEDIA,IVA Dptos!D8; IVA Dptos!$C$2; IVA Dptos!$C$1,
IVA Dptos,I8,0.541142604694358,=H8/G8,=H8/G8,CALCULO,MEDIA,IVA Dptos!H8; IVA Dptos!G8,
IVA Dptos,J8,163.68599464763565,=(D8-E8-F8),=(D8-E8-F8),CALCULO,MEDIA,IVA Dptos!D8; IVA Dptos!E8; IVA Dptos!F8,
IVA Dptos,K8,6522886.886708281,=(D8-E8-F8)*$C$1,=(D8-E8-F8)*$C$1,CALCULO,MEDIA,IVA Dptos!D8; IVA Dptos!E8; IVA Dptos!F8; IVA Dptos!$C$1,
IVA Dptos,L8,22308273.15254238,=E8*$C$1,=E8*$C$1,CALCULO,MEDIA,IVA Dptos!E8; IVA Dptos!$C$1,
IVA Dptos,N8,356.4,=+M8-(M8*$C$3),=+M8-(M8*$C$3),CALCULO,MEDIA,IVA Dptos!M8; IVA Dptos!$C$3,
IVA Dptos,P8,65.52,=+O8-(O8*$C$3),=+O8-(O8*$C$3),CALCULO,MEDIA,IVA Dptos!O8; IVA Dptos!$C$3,
IVA Dptos,Q8,4091.76,=(D8+N8+P8),=(D8+N8+P8),CALCULO,MEDIA,IVA Dptos!D8; IVA Dptos!N8; IVA Dptos!P8,
IVA Dptos,V8,-454.6400000000003,=+Q8-T8,=+Q8-T8,CALCULO,MEDIA,IVA Dptos!Q8; IVA Dptos!T8,
IVA Dptos,X8,5097,5097,,INPUT_MANUAL_NUMERICO,MEDIA,,
IVA Dptos,AC8,1427.16,=+X8*$C$3,=+X8*$C$3,CALCULO,MEDIA,IVA Dptos!X8; IVA Dptos!$C$3,
IVA Dptos,AD8,5683,=X8+M8+O8,=X8+M8+O8,CALCULO,MEDIA,IVA Dptos!X8; IVA Dptos!M8; IVA Dptos!O8,
IVA Dptos,B9,2,=+B8+1,=+B8+1,CALCULO,MEDIA,IVA Dptos!B8,
IVA Dptos,D9,3693.6,=X9-(X9*$C$3),=X9-(X9*$C$3),CALCULO,MEDIA,IVA Dptos!X9; IVA Dptos!$C$3,
IVA Dptos,E9,563.4305084745763,=(D9/1.18)*0.18,=(D9/1.18)*0.18,CALCULO,MEDIA,IVA Dptos!D9,
IVA Dptos,F9,2965.4237288135596,=E9/0.19,=E9/0.19,CALCULO,MEDIA,IVA Dptos!E9,
IVA Dptos,G9,124737254.23728815,=(D9/(1+$C$2))*$C$1,=(D9/(1+$C$2))*$C$1,CALCULO,MEDIA,IVA Dptos!D9; IVA Dptos!$C$2; IVA Dptos!$C$1,
IVA Dptos,I9,0.530065892537779,=H9/G9,=H9/G9,CALCULO,MEDIA,IVA Dptos!H9; IVA Dptos!G9,
IVA Dptos,J9,164.74576271186424,=(D9-E9-F9),=(D9-E9-F9),CALCULO,MEDIA,IVA Dptos!D9; IVA Dptos!E9; IVA Dptos!F9,
IVA Dptos,K9,6565118.64406779,=(D9-E9-F9)*$C$1,=(D9-E9-F9)*$C$1,CALCULO,MEDIA,IVA Dptos!D9; IVA Dptos!E9; IVA Dptos!F9; IVA Dptos!$C$1,
IVA Dptos,L9,22452705.762711864,=E9*$C$1,=E9*$C$1,CALCULO,MEDIA,IVA Dptos!E9; IVA Dptos!$C$1,
IVA Dptos,N9,356.4,=+M9-(M9*$C$3),=+M9-(M9*$C$3),CALCULO,MEDIA,IVA Dptos!M9; IVA Dptos!$C$3,
IVA Dptos,P9,65.52,=+O9-(O9*$C$3),=+O9-(O9*$C$3),CALCULO,MEDIA,IVA Dptos!O9; IVA Dptos!$C$3,
IVA Dptos,Q9,4115.52,=(D9+N9+P9),=(D9+N9+P9),CALCULO,MEDIA,IVA Dptos!D9; IVA Dptos!N9; IVA Dptos!P9,
IVA Dptos,V9,-457.27999999999975,=+Q9-T9,=+Q9-T9,CALCULO,MEDIA,IVA Dptos!Q9; IVA Dptos!T9,
IVA Dptos,AC9,1436.4,=+X9*$C$3,=+X9*$C$3,CALCULO,MEDIA,IVA Dptos!X9; IVA Dptos!$C$3,
IVA Dptos,AD9,5716,=X9+M9+O9,=X9+M9+O9,CALCULO,MEDIA,IVA Dptos!X9; IVA Dptos!M9; IVA Dptos!O9,
IVA Dptos,B10,3,=+B9+1,=+B9+1,CALCULO,MEDIA,IVA Dptos!B9,
IVA Dptos,D10,3838.3199999999997,=X10-(X10*$C$3),=X10-(X10*$C$3),CALCULO,MEDIA,IVA Dptos!X10; IVA Dptos!$C$3,
IVA Dptos,E10,585.506440677966,=(D10/1.18)*0.18,=(D10/1.18)*0.18,CALCULO,MEDIA,IVA Dptos!D10,
IVA Dptos,F10,3081.612845673505,=E10/0.19,=E10/0.19,CALCULO,MEDIA,IVA Dptos!E10,
IVA Dptos,G10,129624620.33898304,=(D10/(1+$C$2))*$C$1,=(D10/(1+$C$2))*$C$1,CALCULO,MEDIA,IVA Dptos!D10; IVA Dptos!$C$2; IVA Dptos!$C$1,
IVA Dptos,I10,0.5100802905118752,=H10/G10,=H10/G10,CALCULO,MEDIA,IVA Dptos!H10; IVA Dptos!G10,
IVA Dptos,J10,171.20071364852856,=(D10-E10-F10),=(D10-E10-F10),CALCULO,MEDIA,IVA Dptos!D10; IVA Dptos!E10; IVA Dptos!F10,
IVA Dptos,K10,6822348.438893863,=(D10-E10-F10)*$C$1,=(D10-E10-F10)*$C$1,CALCULO,MEDIA,IVA Dptos!D10; IVA Dptos!E10; IVA Dptos!F10; IVA Dptos!$C$1,
IVA Dptos,L10,23332431.661016945,=E10*$C$1,=E10*$C$1,CALCULO,MEDIA,IVA Dptos!E10; IVA Dptos!$C$1,
IVA Dptos,N10,356.4,=+M10-(M10*$C$3),=+M10-(M10*$C$3),CALCULO,MEDIA,IVA Dptos!M10; IVA Dptos!$C$3,
IVA Dptos,P10,65.52,=+O10-(O10*$C$3),=+O10-(O10*$C$3),CALCULO,MEDIA,IVA Dptos!O10; IVA Dptos!$C$3,
IVA Dptos,Q10,4260.24,=(D10+N10+P10),=(D10+N10+P10),CALCULO,MEDIA,IVA Dptos!D10; IVA Dptos!N10; IVA Dptos!P10,
IVA Dptos,V10,-473.3600000000006,=+Q10-T10,=+Q10-T10,CALCULO,MEDIA,IVA Dptos!Q10; IVA Dptos!T10,
IVA Dptos,AC10,1492.68,=+X10*$C$3,=+X10*$C$3,CALCULO,MEDIA,IVA Dptos!X10; IVA Dptos!$C$3,
IVA Dptos,AD10,5917,=X10+M10+O10,=X10+M10+O10,CALCULO,MEDIA,IVA Dptos!X10; IVA Dptos!M10; IVA Dptos!O10,
IVA Dptos,B11,4,=+B10+1,=+B10+1,CALCULO,MEDIA,IVA Dptos!B10,
IVA Dptos,D11,3755.5199999999995,=X11-(X11*$C$3),=X11-(X11*$C$3),CALCULO,MEDIA,IVA Dptos!X11; IVA Dptos!$C$3,
IVA Dptos,E11,572.8759322033898,=(D11/1.18)*0.18,=(D11/1.18)*0.18,CALCULO,MEDIA,IVA Dptos!D11,
IVA Dptos,F11,3015.136485280999,=E11/0.19,=E11/0.19,CALCULO,MEDIA,IVA Dptos!E11,
IVA Dptos,G11,126828366.1016949,=(D11/(1+$C$2))*$C$1,=(D11/(1+$C$2))*$C$1,CALCULO,MEDIA,IVA Dptos!D11; IVA Dptos!$C$2; IVA Dptos!$C$1,
IVA Dptos,I11,0.5287967515581181,=H11/G11,=H11/G11,CALCULO,MEDIA,IVA Dptos!H11; IVA Dptos!G11,
IVA Dptos,J11,167.50758251561092,=(D11-E11-F11),=(D11-E11-F11),CALCULO,MEDIA,IVA Dptos!D11; IVA Dptos!E11; IVA Dptos!F11,
IVA Dptos,K11,6675177.163247095,=(D11-E11-F11)*$C$1,=(D11-E11-F11)*$C$1,CALCULO,MEDIA,IVA Dptos!D11; IVA Dptos!E11; IVA Dptos!F11; IVA Dptos!$C$1,
IVA Dptos,L11,22829105.89830508,=E11*$C$1,=E11*$C$1,CALCULO,MEDIA,IVA Dptos!E11; IVA Dptos!$C$1,
IVA Dptos,N11,356.4,=+M11-(M11*$C$3),=+M11-(M11*$C$3),CALCULO,MEDIA,IVA Dptos!M11; IVA Dptos!$C$3,
IVA Dptos,P11,65.52,=+O11-(O11*$C$3),=+O11-(O11*$C$3),CALCULO,MEDIA,IVA Dptos!O11; IVA Dptos!$C$3,
IVA Dptos,Q11,4177.44,=(D11+N11+P11),=(D11+N11+P11),CALCULO,MEDIA,IVA Dptos!D11; IVA Dptos!N11; IVA Dptos!P11,
IVA Dptos,V11,-464.16000000000076,=+Q11-T11,=+Q11-T11,CALCULO,MEDIA,IVA Dptos!Q11; IVA Dptos!T11,
IVA Dptos,AC11,1460.4800000000002,=+X11*$C$3,=+X11*$C$3,CALCULO,MEDIA,IVA Dptos!X11; IVA Dptos!$C$3,
IVA Dptos,AD11,5802,=X11+M11+O11,=X11+M11+O11,CALCULO,MEDIA,IVA Dptos!X11; IVA Dptos!M11; IVA Dptos!O11,
IVA Dptos,B12,5,=+B11+1,=+B11+1,CALCULO,MEDIA,IVA Dptos!B11,
IVA Dptos,D12,3751.92,=X12-(X12*$C$3),=X12-(X12*$C$3),CALCULO,MEDIA,IVA Dptos!X12; IVA Dptos!$C$3,
IVA Dptos,E12,572.326779661017,=(D12/1.18)*0.18,=(D12/1.18)*0.18,CALCULO,MEDIA,IVA Dptos!D12,
IVA Dptos,F12,3012.2462087421945,=E12/0.19,=E12/0.19,CALCULO,MEDIA,IVA Dptos!E12,
IVA Dptos,G12,126706789.83050849,=(D12/(1+$C$2))*$C$1,=(D12/(1+$C$2))*$C$1,CALCULO,MEDIA,IVA Dptos!D12; IVA Dptos!$C$2; IVA Dptos!$C$1,
IVA Dptos,I12,0.5218265263325286,=H12/G12,=H12/G12,CALCULO,MEDIA,IVA Dptos!H12; IVA Dptos!G12,
IVA Dptos,J12,167.34701159678843,=(D12-E12-F12),=(D12-E12-F12),CALCULO,MEDIA,IVA Dptos!D12; IVA Dptos!E12; IVA Dptos!F12,
IVA Dptos,K12,6668778.412132019,=(D12-E12-F12)*$C$1,=(D12-E12-F12)*$C$1,CALCULO,MEDIA,IVA Dptos!D12; IVA Dptos!E12; IVA Dptos!F12; IVA Dptos!$C$1,
IVA Dptos,L12,22807222.169491526,=E12*$C$1,=E12*$C$1,CALCULO,MEDIA,IVA Dptos!E12; IVA Dptos!$C$1,
IVA Dptos,N12,356.4,=+M12-(M12*$C$3),=+M12-(M12*$C$3),CALCULO,MEDIA,IVA Dptos!M12; IVA Dptos!$C$3,
IVA Dptos,P12,65.52,=+O12-(O12*$C$3),=+O12-(O12*$C$3),CALCULO,MEDIA,IVA Dptos!O12; IVA Dptos!$C$3,
IVA Dptos,Q12,4173.84,=(D12+N12+P12),=(D12+N12+P12),CALCULO,MEDIA,IVA Dptos!D12; IVA Dptos!N12; IVA Dptos!P12,
IVA Dptos,V12,-463.7600000000002,=+Q12-T12,=+Q12-T12,CALCULO,MEDIA,IVA Dptos!Q12; IVA Dptos!T12,
IVA Dptos,AC12,1459.0800000000002,=+X12*$C$3,=+X12*$C$3,CALCULO,MEDIA,IVA Dptos!X12; IVA Dptos!$C$3,
IVA Dptos,AD12,5797,=X12+M12+O12,=X12+M12+O12,CALCULO,MEDIA,IVA Dptos!X12; IVA Dptos!M12; IVA Dptos!O12,
IVA Dptos,B13,6,=+B12+1,=+B12+1,CALCULO,MEDIA,IVA Dptos!B12,
IVA Dptos,D13,3099.6,=X13-(X13*$C$3),=X13-(X13*$C$3),CALCULO,MEDIA,IVA Dptos!X13; IVA Dptos!$C$3,
IVA Dptos,E13,472.8203389830509,=(D13/1.18)*0.18,=(D13/1.18)*0.18,CALCULO,MEDIA,IVA Dptos!D13,
IVA Dptos,F13,2488.528099910794,=E13/0.19,=E13/0.19,CALCULO,MEDIA,IVA Dptos!E13,
IVA Dptos,G13,104677169.49152543,=(D13/(1+$C$2))*$C$1,=(D13/(1+$C$2))*$C$1,CALCULO,MEDIA,IVA Dptos!D13; IVA Dptos!$C$2; IVA Dptos!$C$1,
IVA Dptos,I13,0.4086500065657883,=H13/G13,=H13/G13,CALCULO,MEDIA,IVA Dptos!H13; IVA Dptos!G13,
IVA Dptos,J13,138.2515611061549,=(D13-E13-F13),=(D13-E13-F13),CALCULO,MEDIA,IVA Dptos!D13; IVA Dptos!E13; IVA Dptos!F13,
IVA Dptos,K13,5509324.7100802725,=(D13-E13-F13)*$C$1,=(D13-E13-F13)*$C$1,CALCULO,MEDIA,IVA Dptos!D13; IVA Dptos!E13; IVA Dptos!F13; IVA Dptos!$C$1,
IVA Dptos,L13,18841890.508474577,=E13*$C$1,=E13*$C$1,CALCULO,MEDIA,IVA Dptos!E13; IVA Dptos!$C$1,
IVA Dptos,N13,356.4,=+M13-(M13*$C$3),=+M13-(M13*$C$3),CALCULO,MEDIA,IVA Dptos!M13; IVA Dptos!$C$3,
IVA Dptos,P13,65.52,=+O13-(O13*$C$3),=+O13-(O13*$C$3),CALCULO,MEDIA,IVA Dptos!O13; IVA Dptos!$C$3,
IVA Dptos,Q13,3521.52,=(D13+N13+P13),=(D13+N13+P13),CALCULO,MEDIA,IVA Dptos!D13; IVA Dptos!N13; IVA Dptos!P13,
IVA Dptos,V13,-391.2800000000002,=+Q13-T13,=+Q13-T13,CALCULO,MEDIA,IVA Dptos!Q13; IVA Dptos!T13,
IVA Dptos,AC13,1205.4,=+X13*$C$3,=+X13*$C$3,CALCULO,MEDIA,IVA Dptos!X13; IVA Dptos!$C$3,
IVA Dptos,AD13,4891,=X13+M13+O13,=X13+M13+O13,CALCULO,MEDIA,IVA Dptos!X13; IVA Dptos!M13; IVA Dptos!O13,
IVA Dptos,B14,7,=+B13+1,=+B13+1,CALCULO,MEDIA,IVA Dptos!B13,
IVA Dptos,D14,3803.04,=X14-(X14*$C$3),=X14-(X14*$C$3),CALCULO,MEDIA,IVA Dptos!X14; IVA Dptos!$C$3,
IVA Dptos,E14,580.1247457627119,=(D14/1.18)*0.18,=(D14/1.18)*0.18,CALCULO,MEDIA,IVA Dptos!D14,
IVA Dptos,F14,3053.2881355932204,=E14/0.19,=E14/0.19,CALCULO,MEDIA,IVA Dptos!E14,
IVA Dptos,G14,128433172.88135593,=(D14/(1+$C$2))*$C$1,=(D14/(1+$C$2))*$C$1,CALCULO,MEDIA,IVA Dptos!D14; IVA Dptos!$C$2; IVA Dptos!$C$1,
IVA Dptos,I14,0.5221892949880999,=H14/G14,=H14/G14,CALCULO,MEDIA,IVA Dptos!H14; IVA Dptos!G14,
IVA Dptos,J14,169.62711864406765,=(D14-E14-F14),=(D14-E14-F14),CALCULO,MEDIA,IVA Dptos!D14; IVA Dptos!E14; IVA Dptos!F14,
IVA Dptos,K14,6759640.6779660955,=(D14-E14-F14)*$C$1,=(D14-E14-F14)*$C$1,CALCULO,MEDIA,IVA Dptos!D14; IVA Dptos!E14; IVA Dptos!F14; IVA Dptos!$C$1,
IVA Dptos,L14,23117971.11864407,=E14*$C$1,=E14*$C$1,CALCULO,MEDIA,IVA Dptos!E14; IVA Dptos!$C$1,
IVA Dptos,N14,356.4,=+M14-(M14*$C$3),=+M14-(M14*$C$3),CALCULO,MEDIA,IVA Dptos!M14; IVA Dptos!$C$3,
IVA Dptos,P14,65.52,=+O14-(O14*$C$3),=+O14-(O14*$C$3),CALCULO,MEDIA,IVA Dptos!O14; IVA Dptos!$C$3,
