hoja,celda,tipo,validacion,observacion
Resumen,K6,INPUT_MANUAL_NUMERICO,,Contexto input: Deptos F.Esc/Bco Alzante/Ingreso CBR | ='Crédito Comercial 12A'!D4
Resumen,E7,INPUT_MANUAL_NUMERICO,,Contexto input:  | ='Crédito Comercial 12A'!$D$3
Resumen,C8,INPUT_MANUAL_ALFANUMERICO,,Contexto input:  | Descuento Inmobiliaria
Resumen,C12,INPUT_MANUAL_ALFANUMERICO,,Contexto input:  | Ingreso Total Arriendos
Resumen,C16,INPUT_MANUAL_ALFANUMERICO,,Contexto input:  | Venta al año 5 (90% del Precio de lista actual)
IVA Dptos,C3,INPUT_MANUAL_NUMERICO,,Contexto input: Descuento | 0.18
IVA Dptos,E7,INPUT_MANUAL_ALFANUMERICO,,Contexto input: Precio con dcto |
IVA Dptos,Y7,INPUT_MANUAL_ALFANUMERICO,,Contexto input: Precio Lista Deptos |
IVA Dptos,AD7,INPUT_MANUAL_ALFANUMERICO,,Contexto input: Descuento |
IVA Dptos,X8,INPUT_MANUAL_NUMERICO,,Contexto input:  | Precio Lista Deptos
IVA Dptos,E31,INPUT_MANUAL_ALFANUMERICO,,Contexto input: Precio Lista Deptos |
IVA Dptos,I31,INPUT_MANUAL_ALFANUMERICO,,Contexto input: Precio 28% dcto |
IVA Dptos,D32,INPUT_MANUAL_NUMERICO,,Contexto input: 702 | Precio Lista Deptos
IVA Dptos,H32,INPUT_MANUAL_NUMERICO,,Contexto input:  | Precio 28% dcto
Arriendo,F3,INPUT_MANUAL_ALFANUMERICO,,Contexto input: Valor Arriendo |
Arriendo,G3,INPUT_MANUAL_ALFANUMERICO,,Contexto input: Valor Arriendo |
Arriendo,K3,INPUT_MANUAL_ALFANUMERICO,,Contexto input: Arriendo-(11% A.F (mes)) |
Arriendo,L3,INPUT_MANUAL_ALFANUMERICO,,Contexto input: IVA arriendo |
Arriendo,R3,INPUT_MANUAL_ALFANUMERICO,,Contexto input: Arriendo GGCC Incluido |
Arriendo,S3,INPUT_MANUAL_ALFANUMERICO,,Contexto input: Arriendo U |
Arriendo,E4,INPUT_MANUAL_NUMERICO,,Contexto input: 702 | Valor Arriendo
Arriendo,R15,INPUT_MANUAL_ALFANUMERICO,,Contexto input: Gasto Operacional |
Arriendo,S15,INPUT_MANUAL_ALFANUMERICO,,Contexto input: gasto operc UF |
Arriendo,R18,INPUT_MANUAL_ALFANUMERICO,,Contexto input: Comisión Corredor |
Arriendo,S18,INPUT_MANUAL_ALFANUMERICO,,Contexto input: Comisión Corredor |
Arriendo,R21,INPUT_MANUAL_ALFANUMERICO,,Contexto input: Gasto común |
Arriendo,Q22,INPUT_MANUAL_NUMERICO,,Contexto input:  | Gasto común
Flujo mensual,B5,INPUT_MANUAL_ALFANUMERICO,,Contexto input:  | Arriendos
Flujo mensual,B15,INPUT_MANUAL_ALFANUMERICO,,Contexto input:  | Gasto operacional
Flujo mensual,B16,INPUT_MANUAL_ALFANUMERICO,,Contexto input:  | Comisión corredor
Flujo mensual,J16,INPUT_MANUAL_NUMERICO,,Contexto input: =Arriendo!$R$22*3 | =Arriendo!$R$19*3
Flujo mensual,B17,INPUT_MANUAL_ALFANUMERICO,,Contexto input:  | Gasto común
Flujo mensual,D17,INPUT_MANUAL_NUMERICO,,Contexto input:  | =Arriendo!$T$22
