hoja,celda,descripcion,criticidad
Flujo mensual,C3,Etiqueta izquierda: Ingresos,ALTA
Flujo mensual,C7,Etiqueta izquierda: Total Ingresos,ALTA
Flujo mensual,C10,Etiqueta izquierda: Egresos,ALTA
Flujo mensual,C21,Etiqueta izquierda: Total Egresos,ALTA
Flujo mensual,C23,Etiqueta izquierda: Flujo,ALTA
Flujo mensual,C24,Etiqueta izquierda: Flujo acumulado,ALTA
Flujo 5 años C12,E2,Etiqueta izquierda: Ingresos,ALTA
Flujo 5 años C12,G3,Etiqueta izquierda: ='Flujo mensual'!P4,ALTA
Flujo 5 años C12,H3,Etiqueta izquierda: ='Flujo mensual'!$O$4*12*0.9,ALTA
Flujo 5 años C12,I3,Etiqueta izquierda: ='Flujo mensual'!$O$4*12*0.9,ALTA
Flujo 5 años C12,J3,Etiqueta izquierda: ='Flujo mensual'!$O$4*12*0.9,ALTA
Flujo 5 años C12,G4,Etiqueta izquierda: ='Flujo mensual'!G5,ALTA
Flujo 5 años C12,G5,Etiqueta izquierda: ='Flujo mensual'!G6,ALTA
Flujo 5 años C12,E7,Etiqueta izquierda: Total Ingresos,ALTA
Flujo 5 años C12,E9,Etiqueta izquierda: Egresos,ALTA
Flujo 5 años C12,F10,Etiqueta izquierda: ='Flujo mensual'!C11,ALTA
Flujo 5 años C12,G11,Etiqueta izquierda: ='Flujo mensual'!$P$12,ALTA
Flujo 5 años C12,H11,Etiqueta izquierda: ='Flujo mensual'!$P$12,ALTA
Flujo 5 años C12,I11,Etiqueta izquierda: ='Flujo mensual'!$P$12,ALTA
Flujo 5 años C12,J11,Etiqueta izquierda: ='Flujo mensual'!$P$12,ALTA
Flujo 5 años C12,G13,Etiqueta izquierda: ='Flujo mensual'!$P$13,ALTA
Flujo 5 años C12,H13,Etiqueta izquierda: ='Flujo mensual'!$P$13,ALTA
Flujo 5 años C12,I13,Etiqueta izquierda: ='Flujo mensual'!$P$13,ALTA
Flujo 5 años C12,J13,Etiqueta izquierda: ='Flujo mensual'!$P$13,ALTA
Flujo 5 años C12,F14,Etiqueta izquierda: ='Flujo mensual'!P14,ALTA
Flujo 5 años C12,G15,Etiqueta izquierda: ='Flujo mensual'!P15,ALTA
Flujo 5 años C12,G16,Etiqueta izquierda: ='Flujo mensual'!P16,ALTA
Flujo 5 años C12,G17,Etiqueta izquierda: ='Flujo mensual'!P17,ALTA
Flujo 5 años C12,H17,Etiqueta izquierda: ='Flujo mensual'!$O$17*12*0.9,ALTA
Flujo 5 años C12,I17,Etiqueta izquierda: ='Flujo mensual'!$O$17*12*0.9,ALTA
Flujo 5 años C12,J17,Etiqueta izquierda: ='Flujo mensual'!$O$17*12*0.9,ALTA
Flujo 5 años C12,G18,Etiqueta izquierda: ='Flujo mensual'!$P$19,ALTA
Flujo 5 años C12,H18,Etiqueta izquierda: ='Flujo mensual'!$P$19,ALTA
Flujo 5 años C12,I18,Etiqueta izquierda: ='Flujo mensual'!$P$19,ALTA
Flujo 5 años C12,J18,Etiqueta izquierda: ='Flujo mensual'!$P$19,ALTA
Flujo 5 años C12,G20,Etiqueta izquierda: ='Flujo mensual'!P20,ALTA
Flujo 5 años C12,H20,Etiqueta izquierda: ='Flujo mensual'!$O$20*12,ALTA
Flujo 5 años C12,I20,Etiqueta izquierda: ='Flujo mensual'!$O$20*12,ALTA
Flujo 5 años C12,J20,Etiqueta izquierda: ='Flujo mensual'!$O$20*12,ALTA
Flujo 5 años C12,E22,Etiqueta izquierda: Total Egresos,ALTA
Flujo 5 años C12,E24,Etiqueta izquierda: Flujo Anual Proy. Puro (+ C.F.),ALTA
Flujo 5 años C12,E25,Etiqueta izquierda: Flujo acumulado,ALTA
Flujo 5 años C12,E33,Etiqueta izquierda: Flujo Financiamiento,ALTA
Flujo 5 años C12,E35,Etiqueta izquierda: Flujo caja anual,ALTA
Flujo 5 años C12,E36,Etiqueta izquierda: Flujo anual acumulado,ALTA
