hoja,celda,formula,constante_detectada,impacto
IVA Dptos,C1,=39850,39850,BAJO
IVA Dptos,E8,=(D8/1.18)*0.18,1.18,BAJO
IVA Dptos,E8,=(D8/1.18)*0.18,0.18,BAJO
IVA Dptos,F8,=E8/0.19,0.19,BAJO
IVA Dptos,E9,=(D9/1.18)*0.18,1.18,BAJO
IVA Dptos,E9,=(D9/1.18)*0.18,0.18,BAJO
IVA Dptos,F9,=E9/0.19,0.19,BAJO
IVA Dptos,E10,=(D10/1.18)*0.18,1.18,BAJO
IVA Dptos,E10,=(D10/1.18)*0.18,0.18,BAJO
IVA Dptos,F10,=E10/0.19,0.19,BAJO
IVA Dptos,E11,=(D11/1.18)*0.18,1.18,BAJO
IVA Dptos,E11,=(D11/1.18)*0.18,0.18,BAJO
IVA Dptos,F11,=E11/0.19,0.19,BAJO
IVA Dptos,E12,=(D12/1.18)*0.18,1.18,BAJO
IVA Dptos,E12,=(D12/1.18)*0.18,0.18,BAJO
IVA Dptos,F12,=E12/0.19,0.19,BAJO
IVA Dptos,E13,=(D13/1.18)*0.18,1.18,BAJO
IVA Dptos,E13,=(D13/1.18)*0.18,0.18,BAJO
IVA Dptos,F13,=E13/0.19,0.19,BAJO
IVA Dptos,E14,=(D14/1.18)*0.18,1.18,BAJO
IVA Dptos,E14,=(D14/1.18)*0.18,0.18,BAJO
IVA Dptos,F14,=E14/0.19,0.19,BAJO
IVA Dptos,E15,=(D15/1.18)*0.18,1.18,BAJO
IVA Dptos,E15,=(D15/1.18)*0.18,0.18,BAJO
IVA Dptos,F15,=E15/0.19,0.19,BAJO
IVA Dptos,E16,=(D16/1.18)*0.18,1.18,BAJO
IVA Dptos,E16,=(D16/1.18)*0.18,0.18,BAJO
IVA Dptos,F16,=E16/0.19,0.19,BAJO
IVA Dptos,E17,=(D17/1.18)*0.18,1.18,BAJO
IVA Dptos,E17,=(D17/1.18)*0.18,0.18,BAJO
IVA Dptos,F17,=E17/0.19,0.19,BAJO
IVA Dptos,E18,=(D18/1.18)*0.18,1.18,BAJO
IVA Dptos,E18,=(D18/1.18)*0.18,0.18,BAJO
IVA Dptos,F18,=E18/0.19,0.19,BAJO
IVA Dptos,E19,=(D19/1.18)*0.18,1.18,BAJO
IVA Dptos,E19,=(D19/1.18)*0.18,0.18,BAJO
IVA Dptos,F19,=E19/0.19,0.19,BAJO
IVA Dptos,E20,=(D20/1.18)*0.18,1.18,BAJO
IVA Dptos,E20,=(D20/1.18)*0.18,0.18,BAJO
IVA Dptos,F20,=E20/0.19,0.19,BAJO
IVA Dptos,E21,=(D21/1.18)*0.18,1.18,BAJO
IVA Dptos,E21,=(D21/1.18)*0.18,0.18,BAJO
IVA Dptos,F21,=E21/0.19,0.19,BAJO
IVA Dptos,E22,=(D22/1.18)*0.18,1.18,BAJO
IVA Dptos,E22,=(D22/1.18)*0.18,0.18,BAJO
IVA Dptos,F22,=E22/0.19,0.19,BAJO
IVA Dptos,E23,=(D23/1.18)*0.18,1.18,BAJO
IVA Dptos,E23,=(D23/1.18)*0.18,0.18,BAJO
IVA Dptos,F52,=F48*0.08,0.08,BAJO
Hoja1,E3,='IVA Dptos'!M8*0.8,0.8,BAJO
Hoja1,F3,='IVA Dptos'!O8*0.8,0.8,BAJO
Hoja1,O3,"=VLOOKUP(M3,$B$3:$K$17,10,0)",10,MEDIO
Hoja1,E4,='IVA Dptos'!M9*0.8,0.8,BAJO
Hoja1,F4,='IVA Dptos'!O9*0.8,0.8,BAJO
Hoja1,O4,"=VLOOKUP(M4,$B$3:$K$17,10,0)",10,MEDIO
Hoja1,E5,='IVA Dptos'!M10*0.8,0.8,BAJO
Hoja1,F5,='IVA Dptos'!O10*0.8,0.8,BAJO
Hoja1,O5,"=VLOOKUP(M5,$B$3:$K$17,10,0)",10,MEDIO
Hoja1,E6,='IVA Dptos'!M11*0.8,0.8,BAJO
Hoja1,F6,='IVA Dptos'!O11*0.8,0.8,BAJO
Hoja1,O6,"=VLOOKUP(M6,$B$3:$K$17,10,0)",10,MEDIO
Hoja1,E7,='IVA Dptos'!M12*0.8,0.8,BAJO
Hoja1,F7,='IVA Dptos'!O12*0.8,0.8,BAJO
