componente,ubicacion,riesgo,justificacion
FORMULA,Hoja1!O3,MEDIO,"=VLOOKUP(M3,$B$3:$K$17,10,0)"
FORMULA,Hoja1!O4,MEDIO,"=VLOOKUP(M4,$B$3:$K$17,10,0)"
FORMULA,Hoja1!O5,MEDIO,"=VLOOKUP(M5,$B$3:$K$17,10,0)"
FORMULA,Hoja1!O6,MEDIO,"=VLOOKUP(M6,$B$3:$K$17,10,0)"
FORMULA,Hoja1!O7,MEDIO,"=VLOOKUP(M7,$B$3:$K$17,10,0)"
FORMULA,Hoja1!O8,MEDIO,"=VLOOKUP(M8,$B$3:$K$17,10,0)"
FORMULA,Hoja1!O9,MEDIO,"=VLOOKUP(M9,$B$3:$K$17,10,0)"
FORMULA,Hoja1!O10,MEDIO,"=VLOOKUP(M10,$B$3:$K$17,10,0)"
FORMULA,Hoja1!O11,MEDIO,"=VLOOKUP(M11,$B$3:$K$17,10,0)"
FORMULA,Hoja1!O12,MEDIO,"=VLOOKUP(M12,$B$3:$K$17,10,0)"
FORMULA,Hoja1!O13,MEDIO,"=VLOOKUP(M13,$B$3:$K$17,10,0)"
FORMULA,Hoja1!O14,MEDIO,"=VLOOKUP(M14,$B$3:$K$17,10,0)"
FORMULA,Hoja1!O15,MEDIO,"=VLOOKUP(M15,$B$3:$K$17,10,0)"
FORMULA,Hoja1!O16,MEDIO,"=VLOOKUP(M16,$B$3:$K$17,10,0)"
FORMULA,Hoja1!O17,MEDIO,"=VLOOKUP(M17,$B$3:$K$17,10,0)"
FORMULA,Crédito Comercial 12A!H9,MEDIO,"=PMT($D$5/12,$D$7,$D$4)"
FORMULA,Crédito Comercial 12A!H10,MEDIO,"=PMT($D$5/12,$D$7,$D$4)"
FORMULA,Crédito Comercial 12A!H11,MEDIO,"=PMT($D$5/12,$D$7,$D$4)"
FORMULA,Crédito Comercial 12A!H12,MEDIO,"=PMT($D$5/12,$D$7,$D$4)"
FORMULA,Crédito Comercial 12A!H13,MEDIO,"=PMT($D$5/12,$D$7,$D$4)"
FORMULA,Crédito Comercial 12A!H14,MEDIO,"=PMT($D$5/12,$D$7,$D$4)"
FORMULA,Crédito Comercial 12A!H15,MEDIO,"=PMT($D$5/12,$D$7,$D$4)"
FORMULA,Crédito Comercial 12A!H16,MEDIO,"=PMT($D$5/12,$D$7,$D$4)"
FORMULA,Crédito Comercial 12A!H17,MEDIO,"=PMT($D$5/12,$D$7,$D$4)"
FORMULA,Crédito Comercial 12A!H18,MEDIO,"=PMT($D$5/12,$D$7,$D$4)"
FORMULA,Crédito Comercial 12A!H19,MEDIO,"=PMT($D$5/12,$D$7,$D$4)"
FORMULA,Crédito Comercial 12A!H20,MEDIO,"=PMT($D$5/12,$D$7,$D$4)"
